IDS	BEST	GUESS	DOCULECT
1068 1040 1074	h u + l ɔ̃ː ŋ + w ɔ̃ː ŋ	h u + l ɔ̃ː + w ɔ̃ː ŋ	Jerigaon
1072 1044 1078	pʰ u + l ɔ̃ː ŋ + w ɔ ŋ	pʰ u + l ɔ̃ː + w ɔ ŋ	Shergaon
1092 1088	t i m + p iː -	t a m + p iː	Jerigaon
1093 1089	t i m + p Ø Ø	t a m + p iː	Khis
1095 1090	t i m + p i -	t a m + p i	Rupa
1096 1091	t i m + p Ø -	t a m + p iː	Shergaon
1860 1864	h Ø ŋ + p ɔː	h ɐ ŋ + p ɔː	Jerigaon
1861 1865	h Ø ŋ + p a	h a ŋ + p a	Khis
1862 1868	l Ø ŋ + p oː	l a ŋ + p oː	Rupa
2096 2094	tʰ a Ø + Ø u	tʰ a m + b u	Shergaon
258 254	g a - + tɕ aː	g a + tɕ aː	Khoina
100 97	r ə + pʰ Ø ŋ	r ə + pʰ u ŋ	Khoitam
101 98	r ə + pʰ Ø ŋ	r ə + pʰ u ŋ	Rahung
1035 1037	b - + r Ø Ø Ø	b + r ɔ p	Jerigaon
1036 1038	b - + r Ø Ø Ø	b + r ɔ p	Khoina
1165 1162	m i + r Ø Ø (ŋ)	m i + r u ŋ	Khoina
1166 1163	m a + r Ø Ø (ŋ)	m a + r u ŋ	Khoitam
1167 1164	m a + r Ø Ø (ŋ)	m a + r u ŋ	Rahung
127 130	tʰ yː Ø + pʰ a ŋ	tʰ yː + pʰ a ŋ	Khoitam
128 131	t ə Ø + b a ŋ	tʰ ə + b a ŋ	Rupa
129 132	t u Ø + b a ŋ	tʰ ə + b a ŋ	Shergaon
1296 1299	Ø Ø + w uː	l ə + w uː	Jerigaon
1297 1300	Ø Ø + b a	h e + b a	Khis
1298 1303	Ø Ø + w uː	l ə + w uː	Shergaon
1327 713	n ə - + s - Ø k	n ə + ʨʰ a k	Jerigaon
1328 714	ɲ i ŋ + tɕ a Ø k	ɲ i ŋ + tɕ a k	Khis
1354 1172	n ɔː + r uː	n ə + r uː	Khoina
1414 1412	Ø ə - + Ø u Ø -	n ə + tʰ u ŋ	Jerigaon
1484 1479	ɕ ɔ + b -	ɕ a + b ɔ	Duhum
1485 1480	s y + w Ø	s y + w ɔ	Jerigaon
1486 1481	ɕ a + b -	ɕ a + b ɔ	Khis
1488 1482	s y + w Ø	s y + w ɔ	Rupa
1489 1483	s i + w Ø	s i + w ɔ	Shergaon
1509 1513	h ɔ + b a Ø	h ɔ + b a p	Khis
1510 1514	h u + b aː Ø	h u + b ɐː	Khoina
1511 1515	h u + b ɔ Ø	h u + b ɔ p	Rahung
1558 1554	m a + pʰl u ŋ	m a + pʰl u ŋ	Rupa
1559 1555	m a + pʰl u ŋ	m a + pʰl u ŋ	Shergaon
16 20	s Ø + l u ŋ	s ə + l u ŋ	Jerigaon
1616 1613	n ɔ + ʂ ɛː	n ə + ʂ ɛː	Khoina
1617 1614	n ə + s eː	n ə + s eː	Rahung
164 166	a + h a ŋ	a + h a ŋ	Jerigaon
165 167	ə + f a ŋ	a + f a ŋ	Khoina
1684 807	m ə + r i ŋ	m ə + r i ŋ	Khoina
1715 1704 951	j a + pʰ a Ø + t yː ŋ	j a + pʰ a k + t y ŋ	Khoina
172 733	m n s + k ɔ ŋ -	m ɛ s + k ɔ ŋ	Khis
173 734	m ə - + k - u ŋ	m ə + k u ŋ	Khoina
174 735	m ɔ̃ː - + k - u ŋ	m ə + k u ŋ	Khoitam
175 736	m - - + k - u ŋ	m ə + k u ŋ	Rahung
176 737	m ə - + k - ŋ ŋ	m ə + k u ŋ	Rupa
177 738	m ə - + k - u ŋ	m ə + k u ŋ	Shergaon
18 22	s Ø + l u ŋ	s ə + l u ŋ	Khoitam
1863 1869 	l Ø - + p uː	l ɔ̃ + p uː	Shergaon
1880 1876	kʰ a ɹ + t a Ø	kʰ a n + t a ŋ	Jerigaon
1883 1877	kʰ a ɹ + t aˀ (ŋ)	kʰ a n + t a ŋ	Rupa
1884 1878	kʰ a ɹ + t Ø Ø	kʰ a n + t a ŋ	Shergaon
1912 1918	tsʰ ə + tsʰ ø n	tsʰ ə + tsʰ ø n	Khoina
1913 1919	tɕʰ ə + tɕʰ ɔ m	tɕʰ ə + tɕʰ ɔ m	Khoitam
1914 1920	tsʰ ə + tɕʰ ɔ m	tɕʰ ə + tɕʰ ɔ m	Rupa
1915 1921	tsʰ ə + tɕʰ u m	tɕʰ ə + tɕʰ u m	Shergaon
1939 1936	dʑ Ø + j ɔː	dʑ y + j ɔː	Jerigaon
1940 1937	dʑ y + j oː	dʑ y + j oː	Rahung
1941 1938	dʑ Ø + j aw	dʑ y + j aw	Shergaon
1944 1948	m ə + tɕʰ Ø ŋ -	m ə + tɕʰ i ŋ	Jerigaon
1945 1950	m a + tsʰ Ø n -	m a + tsʰ i ŋ	Khoina
1946 1951	m ə + tɕʰ Ø ŋ -	m ə + tɕʰ i ŋ	Shergaon
259 255	Ø a - + tɕ ɛː	g a + tɕ ɛː	Rahung
2025 2028	g y + s - Ø ŋ	g y + s ɔ ŋ	Jerigaon
2026 2029	kʰ uj + ɕ u Ø -	kʰ ej + s u ŋ	Khis
2027 2030	g y + s - Ø ŋ	g y + s ɔ  ŋ	Khoina
203 199	n a + kʰ u ŋ	n a + kʰ u ŋ	Khoitam
204 200	n a + Ø u ŋ	n a + kʰ u ŋ	Rahung
2049 2045	Ø a + k a	m a + k a	Duhum
2050 2046	Ø u + k uː	m u + k uː	Jerigaon
2051 2047	Ø a + k a	m a + k a	Khis
2052 2048	Ø u + k uː	m u + k uː	Khoina
2095 2093 	tʰ a Ø + b u	tʰ a m + b u	Jerigaon
210 206	l - + kʰ eː -	l ə  + kʰ eː	Jerigaon
212 207	l ə + kʰ ɛː -	l ə + kʰ ɛː	Khoina
213 208	l ə + kʰ eː -	l ə + kʰ eː	Shergaon
256 260	k ã + kʰ a -	kʰ a + k i	Rupa
257 261	kʰ a + kʰ a -	kʰ a + kʰ i	Shergaon
395 399	m Ø + w ɔ	m ə + w ɔ	Jerigaon
397 402	m Ø + j aw	m ə + j aw	Shergaon
406 1201	pʰ + kʰj i Ø	pʰ + kʰj i k	Rupa
420 424	Ø u + k u ɹ	h u + k u ɹ	Duhum
44 37	d ə + tɕ ĩː	d ə + tɕ ĩː	Khoitam
447 442	s u + Ø Ø Ø Ø	s u + n ø n	Jerigaon
449 444	s - + Ø Ø Ø m	s ə + n ɔ m	Rahung
45 38	d ə + tɕ ĩː	d ə + tɕ ĩː	Rahung
450 445	s u + Ø Ø Ø m	s u + ɲ ɔ m	Rupa
46 39	d ə + tɕ ĩː	d ə + tɕ ĩː	Shergaon
573 570	m ə + l ɔː	m ə + l ɔː	Jerigaon
576 571	m ə + l Ø	m ə + l oː	Shergaon
633 624	Ø ə + tɕ y ŋ	b ə + tɕ y ŋ	Jerigaon
634 625	Ø ə + tɕ a ŋ	b ə + tɕ a ŋ	Khoina
635 626	Ø u + Ø Ø ŋ	h u + tɕ a ŋ	Shergaon
86 82	Ø + t a ŋ	s + t a ŋ	Jerigaon
87 83	Ø + t a ŋ	s + t a ŋ	Khoitam
88 84	Ø + t a ŋ	s + t a ŋ	Rahung
89 85	Ø + t a ŋ	s + t a ŋ	Shergaon
899 685	kʰ Ø + j ɛː	kʰ + j ɛː	Jerigaon
901 687	kʰ Ø + j aː	kʰ + j aː	Shergaon
957 962	kʰ a + tɕʰ ɔ ŋ -	kʰ a + tɕʰ ɔ ŋ	Duhum
958 963	kʰ - + tɕʰ - u ŋ	kʰ a + tɕʰ u ŋ	Jerigaon
959 964	kʰ - + tɕʰ - u ŋ	kʰ a + tɕʰ u ŋ	Khoitam
960 965	kʰ - + ʨʰ - ŋ ŋ	kʰ a + ʨʰ u ŋ	Rupa
961 966	kʰ - + tɕʰ - u ŋ	kʰ a + tɕʰ u ŋ	Shergaon
888 812	oː + h u m	h u m	Shergaon
